,order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,address
60,1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
61,1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20,"Blue Ribbon Sushi Bar & Grill, Red Rock Resort, Summerlin South, Clark County, Nevada, 89135, United States"
62,1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,"Cafe Habana, Calle 52 Este, Bella Vista, Panamá, Distrito Panamá, Panamá, 0823, Panamá"
63,1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26,"Westville, 333, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10013, United States"
64,1478077,82041,Shake Shack,American,33.03,Weekday,Not given,22,32,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
65,1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,"Blue Ribbon, Avenue J, Midwood, Brooklyn, Kings County, City of New York, New York, 11234, United States"
66,1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,"RedFarm, 2170, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
67,1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,
68,1477915,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22,"Osteria Morini, 218, Lafayette Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States"
69,1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
70,1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
71,1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
72,1477730,50616,Parm,Italian,13.05,Weekend,Not given,28,27,"پارم, دهستان عشرستاق, بخش یانه سر, شهرستان بهشهر, استان مازندران, ایران"
73,1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,"Sushi Samba, Los Olmos, La Pincoya, Huechuraba, Provincia de Santiago, Región Metropolitana de Santiago, 9362427, Chile"
74,1477821,277898,Haandi,Indian,5.67,Weekday,4,23,31,"Haandi, 10030, 107 Street NW, Downtown, Central Core, Edmonton, Alberta, T5J 3E4, Canada"
75,1477104,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
76,1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18,"Benihana, 5-7, Calea Dorobanților, Sector 1, București, 010551, România"
77,1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,"The Kati Roll Company, 24, Poland Street, Soho, Islington, London, Greater London, England, W1F 8QL, United Kingdom"
78,1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
79,1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,"Han Dynasty, 123, Chestnut Street, Society Hill, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19106, United States"
80,1477975,56722,Shake Shack,American,9.75,Weekend,5,33,25,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
81,1477601,107909,Cafeteria,American,6.69,Weekday,4,21,32,"Cafétéria, 54, Boulevard Desgranges, Sceaux, Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92330, France"
82,1477790,133617,Shake Shack,American,4.75,Weekday,4,35,28,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
83,1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,
84,1478423,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
85,1477051,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28,"Tortaría, 94, University Place, Washington Square Village, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10003, United States"
86,1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,
87,1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,
88,1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,"曹县, 菏泽市, 山东省, 中国"
89,1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,"Country Fried Chicken, George Street, Robinvale, Rural City of Swan Hill, Victoria, 3549, Australia"
90,1478183,329710,Shake Shack,American,5.72,Weekday,3,31,24,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
91,1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,"Chote Nawab, MD3119, Habibganj Slums, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India"
92,1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
93,1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,"Mission Cantina, 485, West Street, Amherst, Hampshire County, Massachusetts, 01004, United States"
94,1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32,"Xi'an Famous Foods, 8, Liberty Place, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10038, United States"
95,1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
96,1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
97,1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
98,1477767,68976,Sarabeth's East,American,17.03,Weekend,3,26,30,"Sarabeth Jordan Boutique, 123, East Laurens Street, Laurens, Laurens County, South Carolina, 29360, United States"
99,1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25,"Cafe Habana, Calle 52 Este, Bella Vista, Panamá, Distrito Panamá, Panamá, 0823, Panamá"
100,1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,"Rubirosa, La Ceiba, La Belén, Ciudad de Camagüey, Camagüey, 70700, Cuba"
101,1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
102,1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
103,1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,"Five Guys, York Place, Seven Dials, Covent Garden, City of Westminster, Greater London, England, WC2N 5LH, United Kingdom"
104,1478408,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
105,1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,"曹县, 菏泽市, 山东省, 中国"
106,1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
107,1477978,259341,Joe's Shanghai _Àü£¾÷´,Chinese,15.81,Weekend,5,20,26,
108,1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,
109,1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
110,1477364,125123,Shake Shack,American,21.83,Weekend,Not given,23,22,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
111,1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28,"Bareburger, 4a شارع, جميرا, دبي, الإمارات العربية المتحدة"
112,1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,"The Odeon, Todd, Todd Mission, Grimes County, Texas, 77363, United States"
113,1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,"پارم, دهستان عشرستاق, بخش یانه سر, شهرستان بهشهر, استان مازندران, ایران"
114,1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,
115,1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,"Yama Japanese Restaurant, Fayette Street, Morgantown, Monongalia County, West Virginia, 26505, United States"
116,1477552,137565,Shake Shack,American,31.29,Weekday,Not given,26,32,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
117,1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
118,1476558,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27,"Yama Japanese Restaurant, Fayette Street, Morgantown, Monongalia County, West Virginia, 26505, United States"
119,1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,"Momoya, Kindia, Guinée"
120,1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,"Osteria Morini, 218, Lafayette Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10012, United States"
121,1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
122,1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15,"Five Guys, York Place, Seven Dials, Covent Garden, City of Westminster, Greater London, England, WC2N 5LH, United Kingdom"
123,1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
124,1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27,"Balthazar Boulangerie, Russell Street, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2B 5HP, United Kingdom"
125,1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,"Sushi of Gari, 402, East 78th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10075, United States"
126,1478348,310051,Parm,Italian,14.99,Weekend,Not given,34,24,"پارم, دهستان عشرستاق, بخش یانه سر, شهرستان بهشهر, استان مازندران, ایران"
127,1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
128,1476826,53543,CafÌ© China,Chinese,24.3,Weekend,Not given,20,23,
129,1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
130,1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,"RedFarm, 2170, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
131,1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
132,1477287,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21,
133,1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
134,1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26,"Blue Ribbon Sushi Bar & Grill, Red Rock Resort, Summerlin South, Clark County, Nevada, 89135, United States"
135,1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
136,1477117,104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24,
137,1478402,232582,CafÌ© China,Chinese,32.93,Weekday,3,26,28,
138,1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,"Boqueria, Viktor Rydbergsgatan, Lorensberg, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 412 56, Sverige"
139,1477836,373689,Bareburger,American,12.08,Weekend,Not given,29,20,"Bareburger, 4a شارع, جميرا, دبي, الإمارات العربية المتحدة"
140,1477376,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
141,1476835,264707,TAO,Japanese,9.56,Weekend,5,21,17,"曹县, 菏泽市, 山东省, 中国"
142,1477177,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,
143,1478174,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25,"Sushi of Gari, 402, East 78th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10075, United States"
144,1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
145,1477369,139085,Shake Shack,American,24.25,Weekday,Not given,32,24,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
146,1476969,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
147,1477420,399478,Shake Shack,American,14.07,Weekend,Not given,25,28,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
148,1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,"پارم, دهستان عشرستاق, بخش یانه سر, شهرستان بهشهر, استان مازندران, ایران"
149,1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
150,1478219,41692,Shake Shack,American,22.8,Weekend,Not given,30,19,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
151,1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19,"Blue Ribbon Sushi Bar & Grill, Red Rock Resort, Summerlin South, Clark County, Nevada, 89135, United States"
152,1477337,123780,Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25,"Five Guys, York Place, Seven Dials, Covent Garden, City of Westminster, Greater London, England, WC2N 5LH, United Kingdom"
153,1476809,385248,Shake Shack,American,12.95,Weekend,Not given,27,18,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
154,1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
155,1476817,97079,Benihana,Japanese,29.05,Weekend,Not given,25,26,"Benihana, 5-7, Calea Dorobanților, Sector 1, București, 010551, România"
156,1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,"RedFarm, 2170, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
157,1477609,105068,TAO,Japanese,16.01,Weekend,Not given,26,16,"曹县, 菏泽市, 山东省, 中国"
158,1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,"Tamarind, Franklin Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10005, United States"
159,1476769,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33,"Sushi of Gari, 347, West 46th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States"
160,1477185,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21,"The Kati Roll Company, 24, Poland Street, Soho, Islington, London, Greater London, England, W1F 8QL, United Kingdom"
